HCPC,SEQNUM,RECID,LONG_DESCRIPTION,SHORT_DESCRIPTION,,,,,
A4455,10,3,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",Adhesive remover per ounce,,,,,
A4456,10,3,"Adhesive remover, wipes, any type, each","Adhesive remover, wipes",,,,,
A4458,10,3,"Enema bag with tubing, reusable",Reusable enema bag,,,,,
A4459,10,3,"Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type","Manual pump enema, reusable",,,,,
A4461,10,3,"Surgical dressing holder, non-reusable, each",Surgicl dress hold non-reuse,,,,,
A4463,10,3,"Surgical dressing holder, reusable, each",Surgical dress holder reuse,,,,,
A4465,10,3,Non-elastic binder for extremity,Non-elastic extremity binder,,,,,
A4466,10,3,"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each",Elastic garment/covering,,,,,
A4470,10,3,Gravlee jet washer,Gravlee jet washer,,,,,
A4480,10,3,Vabra aspirator,Vabra aspirator,,,,,
A4481,10,3,"Tracheostoma filter, any type, any size, each",Tracheostoma filter,,,,,
A4483,10,3,"Moisture exchanger, disposable, for use with invasive mechanical ventilation",Moisture exchanger,,,,,
A4490,10,3,"Surgical stockings above knee length, each",Above knee surgical stocking,,,,,
A4495,10,3,"Surgical stockings thigh length, each",Thigh length surg stocking,,,,,
A4500,10,3,"Surgical stockings below knee length, each",Below knee surgical stocking,,,,,
A4510,10,3,"Surgical stockings full length, each",Full length surg stocking,,,,,
A4520,10,3,"Incontinence garment, any type, (e.g., brief, diaper), each",Incontinence garment anytype,,,,,
A4550,10,3,Surgical trays,Surgical trays,,,,,
A4554,10,3,"Disposable underpads, all sizes",Disposable underpads,,,,,
A4555,10,3,"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only",Ca tx e-stim electr/transduc,,,,,
A4556,10,3,"Electrodes, (e.g., apnea monitor), per pair","Electrodes, pair",,,,,
A4557,10,3,"Lead wires, (e.g., apnea monitor), per pair","Lead wires, pair",,,,,
A4558,10,3,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz",Conductive gel or paste,,,,,
A4559,10,3,"Coupling gel or paste, for use with ultrasound device, per oz",Coupling gel or paste,,,,,
A4561,10,3,"Pessary, rubber, any type","Pessary rubber, any type",,,,,
A4562,10,3,"Pessary, non rubber, any type","Pessary, non rubber,any type",,,,,
A4565,10,3,Slings,Slings,,,,,
A4566,10,3,"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment",Should sling/vest/abrestrain,,,,,
A4570,10,3,Splint,Splint,,,,,
A4575,10,3,"Topical hyperbaric oxygen chamber, disposable",Hyperbaric o2 chamber disps,,,,,
A4580,10,3,"Cast supplies (e.g., plaster)",Cast supplies (plaster),,,,,
A4590,10,3,"Special casting material (e.g., fiberglass)",Special casting material,,,,,
A4595,10,3,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)",Tens suppl 2 lead per month,,,,,
A4600,10,3,"Sleeve for intermittent limb compression device, replacement only, each","Sleeve, inter limb comp dev",,,,,
A4601,10,3,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement",Lith ion non prosth recharge,,,,,
A4602,10,3,"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each",Replace lithium battery 1.5v,,,,,
A4604,10,3,Tubing with integrated heating element for use with positive airway pressure device,Tubing with heating element,,,,,
A4605,10,3,"Tracheal suction catheter, closed system, each",Trach suction cath close sys,,,,,
A4606,10,3,"Oxygen probe for use with oximeter device, replacement",Oxygen probe used w oximeter,,,,,
A4608,10,3,"Transtracheal oxygen catheter, each",Transtracheal oxygen cath,,,,,
A4611,10,3,"Battery, heavy duty; replacement for patient owned ventilator",Heavy duty battery,,,,,
A4612,10,3,Battery cables, replacement for patient-owned ventilator,Battery cables,,,,
A4613,10,3,Battery charger, replacement for patient-owned ventilator,Battery charger,,,,
A4614,10,3,"Peak expiratory flow rate meter, hand held",Hand-held pefr meter,,,,,
A4615,10,3,"Cannula, nasal",Cannula nasal,,,,,
A4616,10,3,"Tubing (oxygen), per foot",Tubing (oxygen) per foot,,,,,
A4617,10,3,Mouth piece,Mouth piece,,,,,
A4618,10,3,Breathing circuits,Breathing circuits,,,,,
A4619,10,3,Face tent,Face tent,,,,,
A4620,10,3,Variable concentration mask,Variable concentration mask,,,,,
A4623,10,3,"Tracheostomy, inner cannula",Tracheostomy inner cannula,,,,,
A4624,10,3,"Tracheal suction catheter, any type other than closed system, each",Tracheal suction tube,,,,,
A4625,10,3,Tracheostomy care kit for new tracheostomy,Trach care kit for new trach,,,,,
A4626,10,3,"Tracheostomy cleaning brush, each",Tracheostomy cleaning brush,,,,,
A4627,10,3,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",Spacer bag/reservoir,,,,,
A4628,10,3,"Oropharyngeal suction catheter, each",Oropharyngeal suction cath,,,,,
A4629,10,3,Tracheostomy care kit for established tracheostomy,Tracheostomy care kit,,,,,
A4630,10,3,"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient",Repl bat t.e.n.s. own by pt,,,,,
A4633,10,3,"Replacement bulb/lamp for ultraviolet light therapy system, each",Uvl replacement bulb,,,,,
A4634,10,3,"Replacement bulb for therapeutic light box, tabletop model",Replacement bulb th lightbox,,,,,
A4635,10,3,"Underarm pad, crutch, replacement, each",Underarm crutch pad,,,,,
A4636,10,3,"Replacement, handgrip, cane, crutch, or walker, each",Handgrip for cane etc,,,,,
A4637,10,3,"Replacement, tip, cane, crutch, walker, each.",Repl tip cane/crutch/walker,,,,,
A4638,10,3,"Replacement battery for patient-owned ear pulse generator, each",Repl batt pulse gen sys,,,,,
A4639,10,3,"Replacement pad for infrared heating pad system, each",Infrared ht sys replcmnt pad,,,,,
A4640,10,3,Replacement pad for use with medically necessary alternating pressure pad owned by patient,Alternating pressure pad,,,,,
A4641,10,3,"Radiopharmaceutical, diagnostic, not otherwise classified",Radiopharm dx agent noc,,,,,
A4642,10,3,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries",In111 satumomab,,,,,
A4648,10,3,"Tissue marker, implantable, any type, each",Implantable tissue marker,,,,,
A4649,10,3,Surgical supply, miscellaneous,Surgical supplies,,,,
A4650,10,3,"Implantable radiation dosimeter, each",Implant radiation dosimeter,,,,,
A4651,10,3,"Calibrated microcapillary tube, each",Calibrated microcap tube,,,,,
A4652,10,3,Microcapillary tube sealant,Microcapillary tube sealant,,,,,
A4653,10,3,"Peritoneal dialysis catheter anchoring device, belt, each",Pd catheter anchor belt,,,,,
A4657,10,3,"Syringe, with or without needle, each",Syringe w/wo needle,,,,,
A4660,10,3,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope,Sphyg/bp app w cuff and stet,,,,,
A4663,10,3,Blood pressure cuff only,Dialysis blood pressure cuff,,,,,
A4670,10,3,Automatic blood pressure monitor,"Automatic bp monitor, dial",,,,,
A4671,10,3,"Disposable cycler set used with cycler dialysis machine, each",Disposable cycler set,,,,,
A4672,10,3,"Drainage extension line, sterile, for dialysis, each","Drainage ext line, dialysis",,,,,
A4673,10,3,"Extension line with easy lock connectors, used with dialysis",Ext line w easy lock connect,,,,,
A4674,10,3,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz","Chem/antisept solution, 8oz",,,,,
A4680,10,3,"Activated carbon filter for hemodialysis, each","Activated carbon filter, ea",,,,,
A4690,10,3,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each","Dialyzer, each",,,,,
A4706,10,3,"Bicarbonate concentrate, solution, for hemodialysis, per gallon",Bicarbonate conc sol per gal,,,,,
A4707,10,3,"Bicarbonate concentrate, powder, for hemodialysis, per packet",Bicarbonate conc pow per pac,,,,,
A4708,10,3,"Acetate concentrate solution, for hemodialysis, per gallon",Acetate conc sol per gallon,,,,,
A4709,10,3,"Acid concentrate, solution, for hemodialysis, per gallon",Acid conc sol per gallon,,,,,
A4714,10,3,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon",Treated water per gallon,,,,,
A4719,10,3,"""y set"" tubing for peritoneal dialysis","""y set"" tubing",,,,,
A4720,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 249cc, but less than or equal to 999 cc, for peritoneal dialysis",Dialysat sol fld vol > 249cc,,,,,
A4721,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis",Dialysat sol fld vol > 999cc,,,,,
A4722,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",Dialys sol fld vol > 1999cc,,,,,
A4723,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis",Dialys sol fld vol > 2999cc,,,,,
A4724,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis",Dialys sol fld vol > 3999cc,,,,,
A4725,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis",Dialys sol fld vol > 4999cc,,,,,
A4726,10,3,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis",Dialys sol fld vol > 5999cc,,,,,
A4728,10,3,"Dialysate solution, non-dextrose containing, 500 ml","Dialysate solution, non-dex",,,,,
A4730,10,3,"Fistula cannulation set for hemodialysis, each","Fistula cannulation set, ea",,,,,
A4736,10,3,"Topical anesthetic, for dialysis, per gram","Topical anesthetic, per gram",,,,,
A4737,10,3,"Injectable anesthetic, for dialysis, per 10 ml",Inj anesthetic per 10 ml,,,,,
A4740,10,3,"Shunt accessory, for hemodialysis, any type, each",Shunt accessory,,,,,
A4750,10,3,"Blood tubing, arterial or venous, for hemodialysis, each",Art or venous blood tubing,,,,,
A4755,10,3,"Blood tubing, arterial and venous combined, for hemodialysis, each",Comb art/venous blood tubing,,,,,
A4760,10,3,"Dialysate solution test kit, for peritoneal dialysis, any type, each","Dialysate sol test kit, each",,,,,
A4765,10,3,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet",Dialysate conc pow per pack,,,,,
A4766,10,3,"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml",Dialysate conc sol add 10 ml,,,,,
A4770,10,3,"Blood collection tube, vacuum, for dialysis, per 50",Blood collection tube/vacuum,,,,,
A4771,10,3,"Serum clotting time tube, for dialysis, per 50",Serum clotting time tube,,,,,
A4772,10,3,"Blood glucose test strips, for dialysis, per 50",Blood glucose test strips,,,,,
A4773,10,3,"Occult blood test strips, for dialysis, per 50",Occult blood test strips,,,,,
A4774,10,3,"Ammonia test strips, for dialysis, per 50",Ammonia test strips,,,,,
A4802,10,3,"Protamine sulfate, for hemodialysis, per 50 mg",Protamine sulfate per 50 mg,,,,,
A4860,10,3,"Disposable catheter tips for peritoneal dialysis, per 10",Disposable catheter tips,,,,,
A4870,10,3,Plumbing and/or electrical work for home hemodialysis equipment,Plumb/elec wk hm hemo equip,,,,,
A4890,10,3,"Contracts, repair and maintenance, for hemodialysis equipment",Repair/maint cont hemo equip,,,,,
A4911,10,3,"Drain bag/bottle, for dialysis, each",Drain bag/bottle,,,,,
A4913,10,3,"Miscellaneous dialysis supplies, not otherwise specified",Misc dialysis supplies noc,,,,,
A4918,10,3,"Venous pressure clamp, for hemodialysis, each",Venous pressure clamp,,,,,
A4927,10,3,"Gloves, non-sterile, per 100",Non-sterile gloves,,,,,
A4928,10,3,"Surgical mask, per 20",Surgical mask,,,,,
A4929,10,3,"Tourniquet for dialysis, each","Tourniquet for dialysis, ea",,,,,
A4930,10,3,"Gloves, sterile, per pair","Sterile, gloves per pair",,,,,
A4931,10,3,"Oral thermometer, reusable, any type, each",Reusable oral thermometer,,,,,
A4932,10,3,"Rectal thermometer, reusable, any type, each",Reusable rectal thermometer,,,,,
A5051,10,3,"Ostomy pouch, closed; with barrier attached (1 piece), each",Pouch clsd w barr attached,,,,,
A5052,10,3,"Ostomy pouch, closed; without barrier attached (1 piece), each",Clsd ostomy pouch w/o barr,,,,,
A5053,10,3,"Ostomy pouch, closed; for use on faceplate, each",Clsd ostomy pouch faceplate,,,,,
A5054,10,3,"Ostomy pouch, closed; for use on barrier with flange (2 piece), each",Clsd ostomy pouch w/flange,,,,,
A5055,10,3,Stoma cap,Stoma cap,,,,,
A5056,10,3,"Ostomy pouch, drainable, with extended wear barrier attached, with filter, (1 piece), each",1 pc ost pouch w filter,,,,,
A5057,10,3,"Ostomy pouch, drainable, with extended wear barrier attached, with built in convexity, with filter, (1 piece), each",1 pc ost pou w built-in conv,,,,,
A5061,10,3,"Ostomy pouch, drainable; with barrier attached, (1 piece), each",Pouch drainable w barrier at,,,,,
A5062,10,3,"Ostomy pouch, drainable; without barrier attached (1 piece), each",Drnble ostomy pouch w/o barr,,,,,
A5063,10,3,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each",Drain ostomy pouch w/flange,,,,,
A5071,10,3,"Ostomy pouch, urinary; with barrier attached (1 piece), each",Urinary pouch w/barrier,,,,,
A5072,10,3,"Ostomy pouch, urinary; without barrier attached (1 piece), each",Urinary pouch w/o barrier,,,,,
A5073,10,3,"Ostomy pouch, urinary; for use on barrier with flange (2 piece), each",Urinary pouch on barr w/flng,,,,,
A5081,10,3,"Stoma plug or seal, any type","Stoma plug or seal, any type",,,,,
A5082,10,3,Continent device, catheter for continent stoma,Continent stoma catheter,,,,
A5083,10,3,"Continent device, stoma absorptive cover for continent stoma",Stoma absorptive cover,,,,,
A5093,10,3,Ostomy accessory, convex insert,Ostomy accessory convex inse,,,,
A5102,10,3,"Bedside drainage bottle with or without tubing, rigid or expandable, each",Bedside drain btl w/wo tube,,,,,
A5105,10,3,"Urinary suspensory with leg bag, with or without tube, each",Urinary suspensory,,,,,
A5112,10,3,"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each",Urinary leg bag,,,,,
A5113,10,3,"Leg strap; latex, replacement only, per set",Latex leg strap,,,,,
A5114,10,3,"Leg strap; foam or fabric, replacement only, per set",Foam/fabric leg strap,,,,,
A5120,10,3,"Skin barrier, wipes or swabs, each","Skin barrier, wipe or swab",,,,,
A5121,10,3,"Skin barrier; solid, 6 x 6 or equivalent, each",Solid skin barrier 6x6,,,,,
A5122,10,3,"Skin barrier; solid, 8 x 8 or equivalent, each",Solid skin barrier 8x8,,,,,
A5126,10,3,Adhesive or non-adhesive, disk or foam pad,Disk/foam pad +or- adhesive,,,,
A5131,10,3,"Appliance cleaner, incontinence and ostomy appliances, per 16 oz.",Appliance cleaner,,,,,
A5200,10,3,"Percutaneous catheter/tube anchoring device, adhesive skin attachment",Percutaneous catheter anchor,,,,,
A5500,10,3,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",Diab shoe for density insert,,,,,
A5501,10,3,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe",Diabetic custom molded shoe,,,,,
A5503,10,3,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe",Diabetic shoe w/roller/rockr,,,,,
A5504,10,3,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe",Diabetic shoe with wedge,,,,,
A5505,10,3,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe",Diab shoe w/metatarsal bar,,,,,
A5506,10,3,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with off-set heel(s), per shoe",Diabetic shoe w/off set heel,,,,,
A5507,10,3,"For diabetics only, not otherwise specified modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe",Modification diabetic shoe,,,,,
A5508,10,3,"For diabetics only, deluxe feature of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe",Diabetic deluxe shoe,,,,,
A5510,10,3,"For diabetics only, direct formed, compression molded to patient's foot without external heat source, multiple-density insert(s) prefabricated, per shoe",Compression form shoe insert,,,,,
A5512,10,3,"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 durometer or 3/16 inch material of shore a 40 durometer (or higher), prefabricated, each",Multi den insert direct form,,,,,
A5513,10,3,"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer or higher), includes arch filler and other shaping material, custom fabricated, each",Multi den insert custom mold,,,,,
A6000,10,3,Non-contact wound warming wound cover for use with the non-contact wound warming device and warming card,Wound warming wound cover,,,,,
A6010,10,3,"Collagen based wound filler, dry form, sterile, per gram of collagen",Collagen based wound filler,,,,,
A6011,10,3,"Collagen based wound filler, gel/paste, per gram of collagen",Collagen gel/paste wound fil,,,,,
A6021,10,3,"Collagen dressing, sterile, size 16 sq. in. or less, each",Collagen dressing <=16 sq in,,,,,
A6022,10,3,"Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each",Collagen drsg>16<=48 sq in,,,,,
A6023,10,3,"Collagen dressing, sterile, size more than 48 sq. in., each",Collagen dressing >48 sq in,,,,,
A6024,10,3,"Collagen dressing wound filler, sterile, per 6 inches",Collagen dsg wound filler,,,,,
A6025,10,3,"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each","Silicone gel sheet, each",,,,,
A6154,10,3,"Wound pouch, each",Wound pouch each,,,,,
A6196,10,3,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",Alginate dressing <=16 sq in,,,,,
A6197,10,3,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Alginate drsg >16 <=48 sq in,,,,,
A6198,10,3,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 48 sq. in., each dressing",Alginate dressing > 48 sq in,,,,,
A6199,10,3,"Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches",Alginate drsg wound filler,,,,,
A6203,10,3,"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Composite drsg <= 16 sq in,,,,,
A6204,10,3,"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Composite drsg >16<=48 sq in,,,,,
A6205,10,3,"Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Composite drsg > 48 sq in,,,,,
A6206,10,3,"Contact layer, sterile, 16 sq. in. or less, each dressing",Contact layer <= 16 sq in,,,,,
A6207,10,3,"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Contact layer >16<= 48 sq in,,,,,
A6208,10,3,"Contact layer, sterile, more than 48 sq. in., each dressing",Contact layer > 48 sq in,,,,,
A6209,10,3,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Foam drsg <=16 sq in w/o bdr,,,,,
A6210,10,3,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Foam drg >16<=48 sq in w/o b,,,,,
A6211,10,3,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Foam drg > 48 sq in w/o brdr,,,,,
A6212,10,3,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Foam drg <=16 sq in w/border,,,,,
A6213,10,3,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Foam drg >16<=48 sq in w/bdr,,,,,
A6214,10,3,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Foam drg > 48 sq in w/border,,,,,
A6215,10,3,"Foam dressing, wound filler, sterile, per gram",Foam dressing wound filler,,,,,
A6216,10,3,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Non-sterile gauze<=16 sq in,,,,,
A6217,10,3,"Gauze, non-impregnated, non-sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Non-sterile gauze>16<=48 sq,,,,,
A6218,10,3,"Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Non-sterile gauze > 48 sq in,,,,,
A6219,10,3,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Gauze <= 16 sq in w/border,,,,,
A6220,10,3,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Gauze >16 <=48 sq in w/bordr,,,,,
A6221,10,3,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Gauze > 48 sq in w/border,,,,,
A6222,10,3,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Gauze <=16 in no w/sal w/o b,,,,,
A6223,10,3,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 16 sq. in., but less than or equal to 48 sq. in., without adhesive border, each dressing",Gauze >16<=48 no w/sal w/o b,,,,,
A6224,10,3,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Gauze > 48 in no w/sal w/o b,,,,,
A6228,10,3,"Gauze, impregnated, water or normal saline, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Gauze <= 16 sq in water/sal,,,,,
A6229,10,3,"Gauze, impregnated, water or normal saline, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Gauze >16<=48 sq in watr/sal,,,,,
A6230,10,3,"Gauze, impregnated, water or normal saline, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Gauze > 48 sq in water/salne,,,,,
A6231,10,3,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size 16 sq. in. or less, each dressing",Hydrogel dsg<=16 sq in,,,,,
A6232,10,3,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size greater than 16 sq. in., but less than or equal to 48 sq. in., each dressing",Hydrogel dsg>16<=48 sq in,,,,,
A6233,10,3,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size more than 48 sq. in., each dressing",Hydrogel dressing >48 sq in,,,,,
A6234,10,3,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Hydrocolld drg <=16 w/o bdr,,,,,
A6235,10,3,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Hydrocolld drg >16<=48 w/o b,,,,,
A6236,10,3,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Hydrocolld drg > 48 in w/o b,,,,,
A6237,10,3,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Hydrocolld drg <=16 in w/bdr,,,,,
A6238,10,3,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Hydrocolld drg >16<=48 w/bdr,,,,,
A6239,10,3,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Hydrocolld drg > 48 in w/bdr,,,,,
A6240,10,3,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce",Hydrocolld drg filler paste,,,,,
A6241,10,3,"Hydrocolloid dressing, wound filler, dry form, sterile, per gram",Hydrocolloid drg filler dry,,,,,
A6242,10,3,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Hydrogel drg <=16 in w/o bdr,,,,,
A6243,10,3,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Hydrogel drg >16<=48 w/o bdr,,,,,
A6244,10,3,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Hydrogel drg >48 in w/o bdr,,,,,
A6245,10,3,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Hydrogel drg <= 16 in w/bdr,,,,,
A6246,10,3,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Hydrogel drg >16<=48 in w/b,,,,,
A6247,10,3,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Hydrogel drg > 48 sq in w/b,,,,,
A6248,10,3,"Hydrogel dressing, wound filler, gel, per fluid ounce",Hydrogel drsg gel filler,,,,,
A6250,10,3,"Skin sealants, protectants, moisturizers, ointments, any type, any size",Skin seal protect moisturizr,,,,,
A6251,10,3,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Absorpt drg <=16 sq in w/o b,,,,,
A6252,10,3,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Absorpt drg >16 <=48 w/o bdr,,,,,
A6253,10,3,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Absorpt drg > 48 sq in w/o b,,,,,
A6254,10,3,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Absorpt drg <=16 sq in w/bdr,,,,,
A6255,10,3,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Absorpt drg >16<=48 in w/bdr,,,,,
A6256,10,3,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Absorpt drg > 48 sq in w/bdr,,,,,
A6257,10,3,"Transparent film, sterile, 16 sq. in. or less, each dressing",Transparent film <= 16 sq in,,,,,
A6258,10,3,"Transparent film, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Transparent film >16<=48 in,,,,,
A6259,10,3,"Transparent film, sterile, more than 48 sq. in., each dressing",Transparent film > 48 sq in,,,,,
A6260,10,3,"Wound cleansers, any type, any size",Wound cleanser any type/size,,,,,
A6261,10,3,"Wound filler, gel/paste, per fluid ounce, not otherwise specified",Wound filler gel/paste /oz,,,,,
A6262,10,3,"Wound filler, dry form, per gram, not otherwise specified",Wound filler dry form / gram,,,,,
A6266,10,3,"Gauze, impregnated, other than water, normal saline, or zinc paste, sterile, any width, per linear yard",Impreg gauze no h20/sal/yard,,,,,
A6402,10,3,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Sterile gauze <= 16 sq in,,,,,
A6403,10,3,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. less than or equal to 48 sq. in., without adhesive border, each dressing",Sterile gauze>16 <= 48 sq in,,,,,
A6404,10,3,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Sterile gauze > 48 sq in,,,,,
A6407,10,3,"Packing strips, non-impregnated, sterile, up to 2 inches in width, per linear yard","Packing strips, non-impreg",,,,,
A6410,10,3,"Eye pad, sterile, each",Sterile eye pad,,,,,
A6411,10,3,"Eye pad, non-sterile, each",Non-sterile eye pad,,,,,
A6412,10,3,"Eye patch, occlusive, each",Occlusive eye patch,,,,,
A6413,10,3,"Adhesive bandage, first-aid type, any size, each","Adhesive bandage, first-aid",,,,,
